Created as New Dataset,Sample 074 By Student Date Tuesday, February 27 2024
cm-1,%T
7839.00,89.81
7838.00,89.80
7837.00,89.79
7836.00,89.78
7835.00,89.77
7834.00,89.76
7833.00,89.75
7832.00,89.76
7831.00,89.77
7830.00,89.78
7829.00,89.78
7828.00,89.78
7827.00,89.80
7826.00,89.83
7825.00,89.85
7824.00,89.85
7823.00,89.84
7822.00,89.84
7821.00,89.85
7820.00,89.86
7819.00,89.84
7818.00,89.81
7817.00,89.77
7816.00,89.74
7815.00,89.72
7814.00,89.72
7813.00,89.72
7812.00,89.71
7811.00,89.70
7810.00,89.70
7809.00,89.71
7808.00,89.73
7807.00,89.73
7806.00,89.74
7805.00,89.74
7804.00,89.75
7803.00,89.75
7802.00,89.76
7801.00,89.76
7800.00,89.76
7799.00,89.76
7798.00,89.77
7797.00,89.77
7796.00,89.77
7795.00,89.79
7794.00,89.82
7793.00,89.84
7792.00,89.83
7791.00,89.82
7790.00,89.81
7789.00,89.80
7788.00,89.78
7787.00,89.76
7786.00,89.74
7785.00,89.73
7784.00,89.73
7783.00,89.74
7782.00,89.74
7781.00,89.74
7780.00,89.73
7779.00,89.73
7778.00,89.73
7777.00,89.74
7776.00,89.73
7775.00,89.70
7774.00,89.68
7773.00,89.67
7772.00,89.68
7771.00,89.69
7770.00,89.69
7769.00,89.70
7768.00,89.71
7767.00,89.73
7766.00,89.75
7765.00,89.74
7764.00,89.72
7763.00,89.69
7762.00,89.67
7761.00,89.67
7760.00,89.68
7759.00,89.71
7758.00,89.75
7757.00,89.78
7756.00,89.81
7755.00,89.83
7754.00,89.84
7753.00,89.83
7752.00,89.81
7751.00,89.78
7750.00,89.76
7749.00,89.76
7748.00,89.77
7747.00,89.78
7746.00,89.78
7745.00,89.77
7744.00,89.76
7743.00,89.75
7742.00,89.73
7741.00,89.71
7740.00,89.72
7739.00,89.73
7738.00,89.73
7737.00,89.73
7736.00,89.74
7735.00,89.75
7734.00,89.76
7733.00,89.76
7732.00,89.75
7731.00,89.74
7730.00,89.75
7729.00,89.76
7728.00,89.76
7727.00,89.77
7726.00,89.78
7725.00,89.79
7724.00,89.79
7723.00,89.78
7722.00,89.78
7721.00,89.78
7720.00,89.78
7719.00,89.78
7718.00,89.78
7717.00,89.79
7716.00,89.79
7715.00,89.78
7714.00,89.75
7713.00,89.71
7712.00,89.65
7711.00,89.59
7710.00,89.53
7709.00,89.47
7708.00,89.44
7707.00,89.44
7706.00,89.47
7705.00,89.53
7704.00,89.59
7703.00,89.66
7702.00,89.72
7701.00,89.76
7700.00,89.79
7699.00,89.81
7698.00,89.82
7697.00,89.83
7696.00,89.84
7695.00,89.84
7694.00,89.84
7693.00,89.82
7692.00,89.81
7691.00,89.80
7690.00,89.80
7689.00,89.80
7688.00,89.80
7687.00,89.78
7686.00,89.76
7685.00,89.76
7684.00,89.76
7683.00,89.76
7682.00,89.75
7681.00,89.73
7680.00,89.71
7679.00,89.69
7678.00,89.69
7677.00,89.69
7676.00,89.70
7675.00,89.70
7674.00,89.69
7673.00,89.70
7672.00,89.72
7671.00,89.75
7670.00,89.77
7669.00,89.77
7668.00,89.75
7667.00,89.74
7666.00,89.74
7665.00,89.75
7664.00,89.76
7663.00,89.76
7662.00,89.77
7661.00,89.79
7660.00,89.81
7659.00,89.82
7658.00,89.83
7657.00,89.83
7656.00,89.84
7655.00,89.84
7654.00,89.84
7653.00,89.84
7652.00,89.84
7651.00,89.84
7650.00,89.84
7649.00,89.82
7648.00,89.78
7647.00,89.74
7646.00,89.70
7645.00,89.68
7644.00,89.67
7643.00,89.67
7642.00,89.68
7641.00,89.69
7640.00,89.70
7639.00,89.71
7638.00,89.72
7637.00,89.72
7636.00,89.70
7635.00,89.67
7634.00,89.66
7633.00,89.68
7632.00,89.71
7631.00,89.73
7630.00,89.75
7629.00,89.77
7628.00,89.79
7627.00,89.81
7626.00,89.82
7625.00,89.82
7624.00,89.82
7623.00,89.82
7622.00,89.84
7621.00,89.86
7620.00,89.87
7619.00,89.84
7618.00,89.79
7617.00,89.74
7616.00,89.71
7615.00,89.69
7614.00,89.69
7613.00,89.69
7612.00,89.70
7611.00,89.72
7610.00,89.75
7609.00,89.75
7608.00,89.73
7607.00,89.69
7606.00,89.66
7605.00,89.63
7604.00,89.63
7603.00,89.64
7602.00,89.66
7601.00,89.68
7600.00,89.70
7599.00,89.72
7598.00,89.74
7597.00,89.75
7596.00,89.75
7595.00,89.75
7594.00,89.75
7593.00,89.76
7592.00,89.77
7591.00,89.78
7590.00,89.78
7589.00,89.78
7588.00,89.78
7587.00,89.79
7586.00,89.81
7585.00,89.82
7584.00,89.82
7583.00,89.82
7582.00,89.82
7581.00,89.82
7580.00,89.82
7579.00,89.82
7578.00,89.81
7577.00,89.80
7576.00,89.79
7575.00,89.79
7574.00,89.80
7573.00,89.80
7572.00,89.81
7571.00,89.80
7570.00,89.81
7569.00,89.82
7568.00,89.82
7567.00,89.83
7566.00,89.82
7565.00,89.81
7564.00,89.79
7563.00,89.78
7562.00,89.77
7561.00,89.77
7560.00,89.78
7559.00,89.80
7558.00,89.82
7557.00,89.84
7556.00,89.86
7555.00,89.87
7554.00,89.87
7553.00,89.87
7552.00,89.86
7551.00,89.86
7550.00,89.86
7549.00,89.86
7548.00,89.86
7547.00,89.84
7546.00,89.82
7545.00,89.80
7544.00,89.78
7543.00,89.76
7542.00,89.75
7541.00,89.76
7540.00,89.78
7539.00,89.81
7538.00,89.83
7537.00,89.83
7536.00,89.83
7535.00,89.81
7534.00,89.80
7533.00,89.78
7532.00,89.78
7531.00,89.78
7530.00,89.79
7529.00,89.81
7528.00,89.83
7527.00,89.84
7526.00,89.83
7525.00,89.81
7524.00,89.78
7523.00,89.75
7522.00,89.73
7521.00,89.72
7520.00,89.71
7519.00,89.72
7518.00,89.73
7517.00,89.74
7516.00,89.75
7515.00,89.76
7514.00,89.77
7513.00,89.78
7512.00,89.79
7511.00,89.79
7510.00,89.77
7509.00,89.74
7508.00,89.71
7507.00,89.69
7506.00,89.67
7505.00,89.65
7504.00,89.62
7503.00,89.58
7502.00,89.56
7501.00,89.56
7500.00,89.57
7499.00,89.57
7498.00,89.57
7497.00,89.58
7496.00,89.61
7495.00,89.64
7494.00,89.64
7493.00,89.62
7492.00,89.59
7491.00,89.56
7490.00,89.54
7489.00,89.54
7488.00,89.54
7487.00,89.56
7486.00,89.60
7485.00,89.64
7484.00,89.68
7483.00,89.70
7482.00,89.71
7481.00,89.72
7480.00,89.73
7479.00,89.72
7478.00,89.70
7477.00,89.69
7476.00,89.68
7475.00,89.66
7474.00,89.63
7473.00,89.61
7472.00,89.61
7471.00,89.62
7470.00,89.62
7469.00,89.63
7468.00,89.64
7467.00,89.65
7466.00,89.66
7465.00,89.68
7464.00,89.69
7463.00,89.71
7462.00,89.72
7461.00,89.74
7460.00,89.75
7459.00,89.74
7458.00,89.72
7457.00,89.70
7456.00,89.68
7455.00,89.67
7454.00,89.67
7453.00,89.68
7452.00,89.68
7451.00,89.69
7450.00,89.69
7449.00,89.70
7448.00,89.69
7447.00,89.68
7446.00,89.66
7445.00,89.65
7444.00,89.64
7443.00,89.64
7442.00,89.64
7441.00,89.65
7440.00,89.67
7439.00,89.68
7438.00,89.68
7437.00,89.69
7436.00,89.69
7435.00,89.69
7434.00,89.69
7433.00,89.69
7432.00,89.70
7431.00,89.71
7430.00,89.71
7429.00,89.70
7428.00,89.68
7427.00,89.65
7426.00,89.62
7425.00,89.60
7424.00,89.58
7423.00,89.56
7422.00,89.55
7421.00,89.57
7420.00,89.60
7419.00,89.62
7418.00,89.63
7417.00,89.63
7416.00,89.64
7415.00,89.65
7414.00,89.66
7413.00,89.67
7412.00,89.67
7411.00,89.68
7410.00,89.68
7409.00,89.67
7408.00,89.66
7407.00,89.65
7406.00,89.62
7405.00,89.59
7404.00,89.57
7403.00,89.56
7402.00,89.55
7401.00,89.56
7400.00,89.56
7399.00,89.57
7398.00,89.59
7397.00,89.60
7396.00,89.62
7395.00,89.63
7394.00,89.64
7393.00,89.64
7392.00,89.63
7391.00,89.61
7390.00,89.59
7389.00,89.58
7388.00,89.57
7387.00,89.56
7386.00,89.55
7385.00,89.55
7384.00,89.56
7383.00,89.55
7382.00,89.53
7381.00,89.51
7380.00,89.49
7379.00,89.48
7378.00,89.48
7377.00,89.49
7376.00,89.50
7375.00,89.51
7374.00,89.51
7373.00,89.52
7372.00,89.51
7371.00,89.50
7370.00,89.49
7369.00,89.48
7368.00,89.48
7367.00,89.47
7366.00,89.46
7365.00,89.46
7364.00,89.46
7363.00,89.44
7362.00,89.42
7361.00,89.40
7360.00,89.39
7359.00,89.37
7358.00,89.35
7357.00,89.34
7356.00,89.33
7355.00,89.33
7354.00,89.32
7353.00,89.31
7352.00,89.30
7351.00,89.29
7350.00,89.28
7349.00,89.29
7348.00,89.30
7347.00,89.30
7346.00,89.27
7345.00,89.25
7344.00,89.23
7343.00,89.22
7342.00,89.20
7341.00,89.18
7340.00,89.17
7339.00,89.17
7338.00,89.18
7337.00,89.20
7336.00,89.20
7335.00,89.18
7334.00,89.16
7333.00,89.14
7332.00,89.13
7331.00,89.12
7330.00,89.10
7329.00,89.09
7328.00,89.08
7327.00,89.06
7326.00,89.04
7325.00,89.02
7324.00,88.99
7323.00,88.97
7322.00,88.95
7321.00,88.93
7320.00,88.92
7319.00,88.90
7318.00,88.88
7317.00,88.86
7316.00,88.86
7315.00,88.86
7314.00,88.86
7313.00,88.87
7312.00,88.87
7311.00,88.87
7310.00,88.86
7309.00,88.86
7308.00,88.85
7307.00,88.84
7306.00,88.83
7305.00,88.82
7304.00,88.82
7303.00,88.82
7302.00,88.82
7301.00,88.82
7300.00,88.81
7299.00,88.79
7298.00,88.79
7297.00,88.79
7296.00,88.79
7295.00,88.79
7294.00,88.78
7293.00,88.77
7292.00,88.76
7291.00,88.74
7290.00,88.70
7289.00,88.67
7288.00,88.65
7287.00,88.64
7286.00,88.62
7285.00,88.61
7284.00,88.59
7283.00,88.59
7282.00,88.58
7281.00,88.57
7280.00,88.56
7279.00,88.54
7278.00,88.52
7277.00,88.52
7276.00,88.52
7275.00,88.53
7274.00,88.53
7273.00,88.54
7272.00,88.53
7271.00,88.52
7270.00,88.51
7269.00,88.50
7268.00,88.48
7267.00,88.46
7266.00,88.45
7265.00,88.46
7264.00,88.47
7263.00,88.48
7262.00,88.49
7261.00,88.49
7260.00,88.50
7259.00,88.51
7258.00,88.50
7257.00,88.50
7256.00,88.49
7255.00,88.48
7254.00,88.47
7253.00,88.45
7252.00,88.43
7251.00,88.40
7250.00,88.38
7249.00,88.36
7248.00,88.34
7247.00,88.32
7246.00,88.30
7245.00,88.30
7244.00,88.30
7243.00,88.31
7242.00,88.32
7241.00,88.33
7240.00,88.35
7239.00,88.36
7238.00,88.36
7237.00,88.35
7236.00,88.35
7235.00,88.34
7234.00,88.32
7233.00,88.31
7232.00,88.31
7231.00,88.31
7230.00,88.30
7229.00,88.30
7228.00,88.30
7227.00,88.30
7226.00,88.30
7225.00,88.30
7224.00,88.30
7223.00,88.30
7222.00,88.31
7221.00,88.31
7220.00,88.31
7219.00,88.30
7218.00,88.29
7217.00,88.27
7216.00,88.26
7215.00,88.24
7214.00,88.22
7213.00,88.21
7212.00,88.20
7211.00,88.19
7210.00,88.19
7209.00,88.19
7208.00,88.18
7207.00,88.17
7206.00,88.15
7205.00,88.15
7204.00,88.15
7203.00,88.15
7202.00,88.14
7201.00,88.14
7200.00,88.15
7199.00,88.16
7198.00,88.16
7197.00,88.17
7196.00,88.17
7195.00,88.18
7194.00,88.18
7193.00,88.19
7192.00,88.19
7191.00,88.18
7190.00,88.17
7189.00,88.16
7188.00,88.15
7187.00,88.13
7186.00,88.12
7185.00,88.11
7184.00,88.12
7183.00,88.12
7182.00,88.14
7181.00,88.15
7180.00,88.16
7179.00,88.16
7178.00,88.17
7177.00,88.17
7176.00,88.17
7175.00,88.16
7174.00,88.15
7173.00,88.13
7172.00,88.11
7171.00,88.09
7170.00,88.07
7169.00,88.05
7168.00,88.05
7167.00,88.04
7166.00,88.03
7165.00,88.03
7164.00,88.03
7163.00,88.03
7162.00,88.03
7161.00,88.02
7160.00,88.01
7159.00,88.01
7158.00,88.01
7157.00,88.01
7156.00,88.01
7155.00,88.00
7154.00,88.00
7153.00,88.00
7152.00,88.01
7151.00,88.01
7150.00,88.00
7149.00,88.00
7148.00,87.99
7147.00,87.99
7146.00,87.99
7145.00,88.00
7144.00,88.01
7143.00,88.01
7142.00,88.01
7141.00,88.02
7140.00,88.03
7139.00,88.04
7138.00,88.04
7137.00,88.05
7136.00,88.06
7135.00,88.08
7134.00,88.09
7133.00,88.09
7132.00,88.09
7131.00,88.08
7130.00,88.07
7129.00,88.05
7128.00,88.04
7127.00,88.03
7126.00,88.03
7125.00,88.03
7124.00,88.03
7123.00,88.04
7122.00,88.03
7121.00,88.02
7120.00,88.01
7119.00,88.01
7118.00,88.01
7117.00,88.01
7116.00,88.01
7115.00,88.00
7114.00,87.99
7113.00,87.99
7112.00,87.99
7111.00,87.99
7110.00,87.99
7109.00,87.99
7108.00,88.00
7107.00,88.01
7106.00,88.01
7105.00,88.00
7104.00,88.01
7103.00,88.01
7102.00,88.02
7101.00,88.03
7100.00,88.04
7099.00,88.04
7098.00,88.04
7097.00,88.04
7096.00,88.03
7095.00,88.02
7094.00,88.02
7093.00,88.03
7092.00,88.06
7091.00,88.07
7090.00,88.07
7089.00,88.07
7088.00,88.07
7087.00,88.05
7086.00,88.04
7085.00,88.02
7084.00,88.02
7083.00,88.02
7082.00,88.03
7081.00,88.03
7080.00,88.04
7079.00,88.04
7078.00,88.02
7077.00,88.01
7076.00,88.01
7075.00,88.02
7074.00,88.02
7073.00,88.03
7072.00,88.04
7071.00,88.04
7070.00,88.04
7069.00,88.05
7068.00,88.06
7067.00,88.06
7066.00,88.06
7065.00,88.06
7064.00,88.06
7063.00,88.05
7062.00,88.05
7061.00,88.04
7060.00,88.03
7059.00,88.02
7058.00,88.03
7057.00,88.06
7056.00,88.09
7055.00,88.10
7054.00,88.09
7053.00,88.09
7052.00,88.08
7051.00,88.06
7050.00,88.05
7049.00,88.04
7048.00,88.06
7047.00,88.08
7046.00,88.09
7045.00,88.10
7044.00,88.10
7043.00,88.09
7042.00,88.08
7041.00,88.07
7040.00,88.07
7039.00,88.08
7038.00,88.09
7037.00,88.10
7036.00,88.11
7035.00,88.11
7034.00,88.11
7033.00,88.11
7032.00,88.11
7031.00,88.11
7030.00,88.11
7029.00,88.13
7028.00,88.15
7027.00,88.16
7026.00,88.17
7025.00,88.18
7024.00,88.19
7023.00,88.19
7022.00,88.18
7021.00,88.18
7020.00,88.17
7019.00,88.17
7018.00,88.16
7017.00,88.15
7016.00,88.16
7015.00,88.17
7014.00,88.17
7013.00,88.19
7012.00,88.20
7011.00,88.21
7010.00,88.21
7009.00,88.22
7008.00,88.22
7007.00,88.22
7006.00,88.21
7005.00,88.21
7004.00,88.20
7003.00,88.20
7002.00,88.20
7001.00,88.20
7000.00,88.20
6999.00,88.20
6998.00,88.19
6997.00,88.19
6996.00,88.19
6995.00,88.19
6994.00,88.19
6993.00,88.19
6992.00,88.20
6991.00,88.20
6990.00,88.20
6989.00,88.20
6988.00,88.20
6987.00,88.19
6986.00,88.19
6985.00,88.19
6984.00,88.20
6983.00,88.21
6982.00,88.22
6981.00,88.22
6980.00,88.22
6979.00,88.21
6978.00,88.20
6977.00,88.20
6976.00,88.20
6975.00,88.20
6974.00,88.20
6973.00,88.21
6972.00,88.22
6971.00,88.22
6970.00,88.22
6969.00,88.22
6968.00,88.22
6967.00,88.22
6966.00,88.22
6965.00,88.23
6964.00,88.24
6963.00,88.25
6962.00,88.24
6961.00,88.25
6960.00,88.25
6959.00,88.25
6958.00,88.24
6957.00,88.24
6956.00,88.24
6955.00,88.25
6954.00,88.25
6953.00,88.25
6952.00,88.26
6951.00,88.27
6950.00,88.27
6949.00,88.27
6948.00,88.28
6947.00,88.28
6946.00,88.29
6945.00,88.29
6944.00,88.30
6943.00,88.29
6942.00,88.29
6941.00,88.28
6940.00,88.28
6939.00,88.28
6938.00,88.27
6937.00,88.27
6936.00,88.28
6935.00,88.29
6934.00,88.29
6933.00,88.29
6932.00,88.29
6931.00,88.29
6930.00,88.29
6929.00,88.30
6928.00,88.31
6927.00,88.33
6926.00,88.33
6925.00,88.33
6924.00,88.33
6923.00,88.33
6922.00,88.32
6921.00,88.32
6920.00,88.32
6919.00,88.32
6918.00,88.31
6917.00,88.32
6916.00,88.32
6915.00,88.32
6914.00,88.31
6913.00,88.32
6912.00,88.32
6911.00,88.33
6910.00,88.34
6909.00,88.35
6908.00,88.36
6907.00,88.35
6906.00,88.34
6905.00,88.35
6904.00,88.35
6903.00,88.35
6902.00,88.34
6901.00,88.35
6900.00,88.36
6899.00,88.38
6898.00,88.38
6897.00,88.39
6896.00,88.39
6895.00,88.39
6894.00,88.39
6893.00,88.39
6892.00,88.39
6891.00,88.39
6890.00,88.39
6889.00,88.39
6888.00,88.39
6887.00,88.39
6886.00,88.38
6885.00,88.38
6884.00,88.38
6883.00,88.39
6882.00,88.40
6881.00,88.41
6880.00,88.42
6879.00,88.42
6878.00,88.41
6877.00,88.41
6876.00,88.41
6875.00,88.40
6874.00,88.40
6873.00,88.40
6872.00,88.41
6871.00,88.42
6870.00,88.42
6869.00,88.43
6868.00,88.44
6867.00,88.45
6866.00,88.45
6865.00,88.45
6864.00,88.46
6863.00,88.46
6862.00,88.46
6861.00,88.45
6860.00,88.45
6859.00,88.45
6858.00,88.45
6857.00,88.45
6856.00,88.45
6855.00,88.46
6854.00,88.47
6853.00,88.48
6852.00,88.48
6851.00,88.48
6850.00,88.48
6849.00,88.49
6848.00,88.49
6847.00,88.50
6846.00,88.50
6845.00,88.51
6844.00,88.52
6843.00,88.52
6842.00,88.51
6841.00,88.51
6840.00,88.51
6839.00,88.51
6838.00,88.51
6837.00,88.51
6836.00,88.52
6835.00,88.53
6834.00,88.52
6833.00,88.51
6832.00,88.51
6831.00,88.50
6830.00,88.50
6829.00,88.50
6828.00,88.51
6827.00,88.52
6826.00,88.53
6825.00,88.53
6824.00,88.53
6823.00,88.52
6822.00,88.51
6821.00,88.51
6820.00,88.52
6819.00,88.52
6818.00,88.52
6817.00,88.54
6816.00,88.55
6815.00,88.55
6814.00,88.54
6813.00,88.53
6812.00,88.53
6811.00,88.53
6810.00,88.53
6809.00,88.53
6808.00,88.54
6807.00,88.54
6806.00,88.54
6805.00,88.54
6804.00,88.55
6803.00,88.55
6802.00,88.55
6801.00,88.56
6800.00,88.56
6799.00,88.56
6798.00,88.56
6797.00,88.55
6796.00,88.55
6795.00,88.54
6794.00,88.54
6793.00,88.53
6792.00,88.54
6791.00,88.54
6790.00,88.53
6789.00,88.54
6788.00,88.54
6787.00,88.54
6786.00,88.54
6785.00,88.55
6784.00,88.56
6783.00,88.57
6782.00,88.57
6781.00,88.58
6780.00,88.59
6779.00,88.59
6778.00,88.57
6777.00,88.56
6776.00,88.56
6775.00,88.57
6774.00,88.57
6773.00,88.57
6772.00,88.59
6771.00,88.60
6770.00,88.60
6769.00,88.60
6768.00,88.59
6767.00,88.59
6766.00,88.59
6765.00,88.59
6764.00,88.60
6763.00,88.61
6762.00,88.61
6761.00,88.61
6760.00,88.61
6759.00,88.61
6758.00,88.60
6757.00,88.60
6756.00,88.60
6755.00,88.60
6754.00,88.60
6753.00,88.61
6752.00,88.62
6751.00,88.63
6750.00,88.63
6749.00,88.63
6748.00,88.65
6747.00,88.66
6746.00,88.66
6745.00,88.65
6744.00,88.64
6743.00,88.64
6742.00,88.63
6741.00,88.62
6740.00,88.62
6739.00,88.62
6738.00,88.63
6737.00,88.64
6736.00,88.66
6735.00,88.66
6734.00,88.66
6733.00,88.67
6732.00,88.67
6731.00,88.67
6730.00,88.67
6729.00,88.67
6728.00,88.68
6727.00,88.68
6726.00,88.67
6725.00,88.68
6724.00,88.69
6723.00,88.68
6722.00,88.68
6721.00,88.68
6720.00,88.69
6719.00,88.70
6718.00,88.70
6717.00,88.70
6716.00,88.71
6715.00,88.70
6714.00,88.69
6713.00,88.69
6712.00,88.69
6711.00,88.69
6710.00,88.69
6709.00,88.69
6708.00,88.70
6707.00,88.71
6706.00,88.71
6705.00,88.71
6704.00,88.71
6703.00,88.71
6702.00,88.71
6701.00,88.71
6700.00,88.72
6699.00,88.73
6698.00,88.73
6697.00,88.74
6696.00,88.75
6695.00,88.75
6694.00,88.75
6693.00,88.75
6692.00,88.75
6691.00,88.75
6690.00,88.75
6689.00,88.75
6688.00,88.76
6687.00,88.76
6686.00,88.76
6685.00,88.76
6684.00,88.77
6683.00,88.77
6682.00,88.77
6681.00,88.78
6680.00,88.79
6679.00,88.79
6678.00,88.80
6677.00,88.80
6676.00,88.81
6675.00,88.81
6674.00,88.81
6673.00,88.82
6672.00,88.82
6671.00,88.82
6670.00,88.81
6669.00,88.81
6668.00,88.81
6667.00,88.80
6666.00,88.80
6665.00,88.80
6664.00,88.80
6663.00,88.81
6662.00,88.81
6661.00,88.81
6660.00,88.82
6659.00,88.81
6658.00,88.81
6657.00,88.81
6656.00,88.82
6655.00,88.83
6654.00,88.83
6653.00,88.83
6652.00,88.83
6651.00,88.84
6650.00,88.83
6649.00,88.82
6648.00,88.82
6647.00,88.83
6646.00,88.83
6645.00,88.84
6644.00,88.84
6643.00,88.84
6642.00,88.84
6641.00,88.84
6640.00,88.84
6639.00,88.83
6638.00,88.83
6637.00,88.84
6636.00,88.85
6635.00,88.85
6634.00,88.84
6633.00,88.84
6632.00,88.84
6631.00,88.84
6630.00,88.83
6629.00,88.83
6628.00,88.85
6627.00,88.85
6626.00,88.86
6625.00,88.86
6624.00,88.86
6623.00,88.85
6622.00,88.84
6621.00,88.84
6620.00,88.84
6619.00,88.85
6618.00,88.85
6617.00,88.86
6616.00,88.87
6615.00,88.87
6614.00,88.87
6613.00,88.87
6612.00,88.86
6611.00,88.85
6610.00,88.85
6609.00,88.86
6608.00,88.86
6607.00,88.86
6606.00,88.86
6605.00,88.86
6604.00,88.86
6603.00,88.86
6602.00,88.85
6601.00,88.86
6600.00,88.87
6599.00,88.88
6598.00,88.88
6597.00,88.88
6596.00,88.88
6595.00,88.88
6594.00,88.87
6593.00,88.87
6592.00,88.87
6591.00,88.88
6590.00,88.89
6589.00,88.90
6588.00,88.91
6587.00,88.91
6586.00,88.90
6585.00,88.89
6584.00,88.89
6583.00,88.89
6582.00,88.89
6581.00,88.90
6580.00,88.90
6579.00,88.91
6578.00,88.90
6577.00,88.90
6576.00,88.90
6575.00,88.90
6574.00,88.90
6573.00,88.91
6572.00,88.92
6571.00,88.92
6570.00,88.91
6569.00,88.91
6568.00,88.92
6567.00,88.92
6566.00,88.93
6565.00,88.93
6564.00,88.94
6563.00,88.94
6562.00,88.94
6561.00,88.93
6560.00,88.93
6559.00,88.93
6558.00,88.92
6557.00,88.92
6556.00,88.92
6555.00,88.92
6554.00,88.93
6553.00,88.94
6552.00,88.95
6551.00,88.96
6550.00,88.97
6549.00,88.97
6548.00,88.97
6547.00,88.96
6546.00,88.95
6545.00,88.95
6544.00,88.95
6543.00,88.95
6542.00,88.95
6541.00,88.96
6540.00,88.97
6539.00,88.97
6538.00,88.96
6537.00,88.96
6536.00,88.96
6535.00,88.97
6534.00,88.96
6533.00,88.96
6532.00,88.96
6531.00,88.96
6530.00,88.96
6529.00,88.96
6528.00,88.96
6527.00,88.97
6526.00,88.98
6525.00,88.98
6524.00,88.98
6523.00,88.98
6522.00,88.98
6521.00,88.97
6520.00,88.97
6519.00,88.97
6518.00,88.97
6517.00,88.99
6516.00,89.00
6515.00,88.99
6514.00,88.99
6513.00,88.99
6512.00,88.99
6511.00,88.99
6510.00,88.99
6509.00,88.99
6508.00,89.00
6507.00,89.01
6506.00,89.01
6505.00,89.02
6504.00,89.03
6503.00,89.04
6502.00,89.04
6501.00,89.04
6500.00,89.05
6499.00,89.05
6498.00,89.04
6497.00,89.04
6496.00,89.03
6495.00,89.03
6494.00,89.04
6493.00,89.04
6492.00,89.05
6491.00,89.05
6490.00,89.05
6489.00,89.06
6488.00,89.06
6487.00,89.05
6486.00,89.05
6485.00,89.05
6484.00,89.06
6483.00,89.06
6482.00,89.06
6481.00,89.06
6480.00,89.07
6479.00,89.08
6478.00,89.07
6477.00,89.07
6476.00,89.08
6475.00,89.09
6474.00,89.08
6473.00,89.07
6472.00,89.08
6471.00,89.08
6470.00,89.08
6469.00,89.07
6468.00,89.07
6467.00,89.07
6466.00,89.07
6465.00,89.06
6464.00,89.06
6463.00,89.05
6462.00,89.06
6461.00,89.06
6460.00,89.07
6459.00,89.07
6458.00,89.08
6457.00,89.09
6456.00,89.09
6455.00,89.09
